fire_time,setup,direction,entry,stop,target,outcome,close_time,bars_held,vix_at_fire,vix_bin,regime,r_multiple
2025-08-08 13:30:00+00:00,EMA Gold,CALL,634.64,632.8146900373904,637.3779649439143,WIN,2025-08-08 18:00:00+00:00,18.0,15.149999618530273,mid,bull_mid,1.5
2025-08-08 19:45:00+00:00,Vol Bull,CALL,637.14,636.0001105292407,638.8498342061389,WIN,2025-08-11 16:00:00+00:00,11.0,15.149999618530273,mid,bull_mid,1.5
2025-08-12 19:45:00+00:00,Vol Bull,CALL,642.64,641.7261172646089,644.0108241030866,WIN,2025-08-13 13:30:00+00:00,1.0,14.729999542236328,low,bull_low,1.5
2025-08-13 13:30:00+00:00,Vol Bull,CALL,645.53,644.368537459994,647.2721938100091,LOSS,2025-08-13 14:15:00+00:00,3.0,14.489999771118164,low,bull_low,-1.0
2025-08-13 19:45:00+00:00,Vol Bull,CALL,644.88,643.7963003001795,646.5055495497309,LOSS,2025-08-14 13:30:00+00:00,1.0,14.489999771118164,low,bull_low,-1.0
2025-08-14 13:30:00+00:00,Vol Bull,CALL,643.37,642.0915645644524,645.2876531533215,WIN,2025-08-14 14:45:00+00:00,5.0,14.829999923706055,low,bull_low,1.5
2025-08-19 16:00:00+00:00,VWAP Bounce Up,CALL,640.23,638.9708173046882,642.1187740429677,LOSS,2025-08-19 17:00:00+00:00,4.0,15.569999694824219,mid,bull_mid,-1.0
2025-08-19 17:00:00+00:00,VWAP Bounce Up,CALL,639.535,638.2764603612869,641.4228094580695,LOSS,2025-08-20 13:30:00+00:00,12.0,15.569999694824219,mid,bull_mid,-1.0
2025-08-20 13:45:00+00:00,VWAP Bounce Up,CALL,635.39,633.9251906188241,637.5872140717638,LOSS,2025-08-20 14:15:00+00:00,2.0,15.6899995803833,mid,bull_mid,-1.0
2025-08-20 14:15:00+00:00,VWAP Bounce Up,CALL,633.92,632.2821577274555,636.3767634088167,WIN,2025-08-20 15:15:00+00:00,4.0,15.6899995803833,mid,bull_mid,1.5
2025-08-22 14:00:00+00:00,EMA Gold,CALL,644.73,642.2942798066557,648.3835802900164,TIMEOUT,2025-08-22 19:00:00+00:00,20.0,14.220000267028809,low,bull_low,0.0
2025-08-22 19:45:00+00:00,Vol Bull,CALL,645.27,643.9525583735965,647.2461624396051,LOSS,2025-08-25 13:30:00+00:00,1.0,14.220000267028809,low,bull_low,-1.0
2025-08-26 14:15:00+00:00,ORB Up,CALL,643.08,642.1093222762303,644.5360165856546,WIN,2025-08-26 19:15:00+00:00,20.0,14.619999885559082,low,bull_low,1.5
2025-08-26 19:15:00+00:00,Vol Bull,CALL,644.56,643.7465048442967,645.7802427335547,WIN,2025-08-27 14:00:00+00:00,5.0,14.619999885559082,low,bull_low,1.5
2025-08-27 14:00:00+00:00,ORB Up,CALL,645.8399,644.8372665462186,647.343850180672,WIN,2025-08-27 18:15:00+00:00,17.0,14.850000381469727,low,bull_low,1.5
2025-08-29 14:00:00+00:00,VWAP Bounce Up,CALL,644.33,643.0665965854179,646.2251051218734,TIMEOUT,2025-08-29 19:00:00+00:00,20.0,15.359999656677246,mid,bull_mid,0.0
2025-08-29 19:30:00+00:00,Vol Bull,CALL,644.78,643.7538399034993,646.319240144751,LOSS,2025-09-02 13:30:00+00:00,2.0,15.359999656677246,mid,bull_mid,-1.0
2025-09-02 15:00:00+00:00,VWAP Bounce Up,CALL,637.0,634.9125479409811,640.1311780885283,WIN,2025-09-02 19:45:00+00:00,19.0,17.170000076293945,mid,bull_mid,1.5
2025-09-02 19:45:00+00:00,Vol Bull,CALL,640.31,638.7584780183869,642.6372829724196,WIN,2025-09-03 13:30:00+00:00,1.0,17.170000076293945,mid,bull_mid,1.5
2025-09-03 13:30:00+00:00,Vol Bull,CALL,643.0,641.2464438742164,645.6303341886754,LOSS,2025-09-03 17:30:00+00:00,16.0,16.350000381469727,mid,bull_mid,-1.0
2025-09-03 19:30:00+00:00,EMA Gold,CALL,642.2,640.8462587747449,644.2306118378827,WIN,2025-09-04 13:30:00+00:00,2.0,16.350000381469727,mid,bull_mid,1.5
2025-09-04 19:45:00+00:00,Vol Bull,CALL,648.99,647.9816322912652,650.5025515631021,WIN,2025-09-05 13:30:00+00:00,1.0,15.300000190734863,mid,bull_mid,1.5
2025-09-05 13:30:00+00:00,Vol Bull,CALL,652.06,650.7818728418891,653.9771907371662,LOSS,2025-09-05 13:45:00+00:00,1.0,15.180000305175781,mid,bull_mid,-1.0
2025-09-05 19:45:00+00:00,Vol Bull,CALL,647.21,645.7113378879218,649.4579931681174,WIN,2025-09-08 14:45:00+00:00,6.0,15.180000305175781,mid,bull_mid,1.5
2025-09-08 19:45:00+00:00,Vol Bull,CALL,648.8,647.6532786298216,650.5200820552676,LOSS,2025-09-09 14:30:00+00:00,5.0,15.109999656677246,mid,bull_mid,-1.0
2025-09-09 19:45:00+00:00,Vol Bull,CALL,650.33,649.4274206069551,651.6838690895675,WIN,2025-09-10 13:30:00+00:00,1.0,15.039999961853027,mid,bull_mid,1.5
2025-09-11 14:00:00+00:00,ORB Up,CALL,655.67,654.1899747834452,657.8900378248321,TIMEOUT,2025-09-11 19:00:00+00:00,20.0,14.710000038146973,low,bull_low,0.0
2025-09-15 19:45:00+00:00,Vol Bull,CALL,660.85,659.9460151728151,662.2059772407773,LOSS,2025-09-16 14:00:00+00:00,3.0,15.6899995803833,mid,bull_mid,-1.0
2025-09-17 18:15:00+00:00,Vol Bull,CALL,660.35,658.9007477778006,662.5238783332992,LOSS,2025-09-17 18:30:00+00:00,1.0,15.720000267028809,mid,bull_mid,-1.0
