date,open,high,low,close,volume
2023-10-23,35.59,38.32,34.8,37.68,255730
2023-10-24,40.54,43.69,40.54,42.5,362590
2023-10-25,43.31,44.89,42.65,43.33,349140
2023-10-26,42.69,42.69,40.74,41.38,144090
2023-10-27,42.02,42.02,39.89,40.63,113920
2023-10-30,42.28,43.3,41.02,42,116000
2023-10-31,41.77,42.32,41.23,42.28,122590
2023-11-01,42.62,42.64,41.31,42.62,144670
2023-11-02,43.8,45.38,42.7,45.38,221870
2023-11-03,44.28,46.27,44.24,45.39,181700
2023-11-06,46.95,46.95,45.21,45.93,82040
2023-11-07,45.45,47.46,45.34,47.34,185030
2023-11-08,46.27,47.83,45.91,47.41,194500
2023-11-09,50.06,53.41,48.63,49.34,372560
2023-11-10,50.5,51.17,49.61,50.89,177180
2023-11-13,49.3,50.57,48.87,50.43,195010
2023-11-14,50.37,50.61,46.03,47.67,340780
2023-11-15,49.32,50.72,48.77,50.59,253140
2023-11-16,49.13,50.06,48.3,48.94,227540
2023-11-17,48.98,49.52,48.57,48.67,191930
2023-11-20,49.36,51.14,49.36,50.82,188990
2023-11-21,48.82,50.27,48.55,49.36,184450
2023-11-22,49.08,50.83,48.37,50.74,128210
2023-11-24,50.83,52.61,50.7,51.86,148330
2023-11-27,50.8,51.34,49.69,49.69,177740
2023-11-28,50.71,51.35,50.32,50.64,111780
2023-11-29,50.59,51.26,49.92,50.87,92060
2023-11-30,50.05,50.3,49.02,49.81,124720
2023-12-01,50.68,52.95,50.68,52.73,270730
2023-12-04,56.73,57.4,55.27,56.28,231680
2023-12-05,56.75,58.59,56.7,57.73,252480
2023-12-06,58.02,58.11,56.87,56.88,172040
2023-12-07,55.83,57.75,55.83,57.08,125510
2023-12-08,58,59.91,58,59.91,211370
2023-12-11,57.04,57.64,54.89,55.58,250710
2023-12-12,56.23,56.23,54.93,55.76,182830
2023-12-13,55.64,58.55,55.31,58.54,188400
2023-12-14,58.67,58.88,57.66,58.19,183680
2023-12-15,57.41,57.43,56.51,57.01,174320
2023-12-18,56.09,57.58,56.09,57.16,158030
2023-12-19,58.54,58.78,56.85,57.12,192740
2023-12-20,59.19,59.82,57.59,57.59,255620
2023-12-21,58.62,58.81,57.61,58.25,101990
2023-12-22,58.25,62.11,57.87,61.86,207570
2023-12-26,60.8,61.27,59.96,60.37,134370
2023-12-27,61.4,67.23,61.4,67.06,387990
2023-12-28,65.69,68.62,65.69,66.7,210710
2023-12-29,67.44,67.56,61.97,63.14,248970
2024-01-02,69.2,72.31,68.43,68.51,311770
2024-01-03,64.01,65.84,62.65,63.23,404810
2024-01-04,63.94,66.62,63.76,65.49,172840
2024-01-05,64.14,65.34,63.03,63.21,147520
2024-01-08,64.12,64.2,58.8,59.85,364430
2024-01-09,59.25,59.31,57.2,57.79,340720
2024-01-10,56.6,58.59,55.4,56.65,425730
2024-01-11,59.89,60.96,53.14,53.65,656420
2024-01-12,52.1,52.42,48.11,48.56,663100
2024-01-16,47.75,48.87,46.92,48.18,411360
2024-01-17,47.61,49.88,47.59,49.88,412400
2024-01-18,50.23,51.59,47.8,48.72,451940
2024-01-19,47.72,48.59,46.59,48.1,238850
2024-01-22,46.32,48.29,45.68,47.03,260340
2024-01-23,44.7,45.79,44.21,45.01,223850
2024-01-24,46,46,44.54,45.1,169990
2024-01-25,45.18,46.33,44.81,45.75,95000
2024-01-26,46.9,49.95,46.51,49.44,271020
2024-01-29,49.77,52.4,49.41,51.37,325230
2024-01-30,52.28,52.28,51.05,51.91,76770
2024-01-31,50.56,52.77,50,50.17,286190
2024-02-01,50.54,51.25,49.73,50.21,138070
2024-02-02,49.88,50.76,49.21,50.06,130200
2024-02-05,50.27,50.27,48.4,49.06,208620
2024-02-06,49.49,50.67,49.43,49.86,122380
2024-02-07,48.84,50.84,46.81,50.81,230170
2024-02-08,53.27,58.8,52.78,58.8,545730
2024-02-09,62.89,64.84,61.59,64.73,815550
2024-02-12,66.22,72.25,66.22,71.6,600350
2024-02-13,65.55,69.8,65.55,68.62,235420
2024-02-14,74.81,77.41,73.54,76.9,373320
2024-02-15,78.1,80.45,71.18,72.01,492110
2024-02-16,73.74,73.77,69.26,69.78,234300
2024-02-20,71,71.44,67.2,70.51,184310
2024-02-21,67.93,68.35,66.58,67.05,155430
2024-02-22,68,71.8,68,71.3,140390
2024-02-23,69.93,70.41,67.83,68.84,120970
2024-02-26,69.35,80.69,69.35,79.78,368900
2024-02-27,86.92,88.96,84.5,86.91,323220
2024-02-28,95.26,100.6,91.59,96.27,711510
2024-02-29,99.77,103.58,96.11,102.3,435580
2024-03-01,100.04,107.96,99.57,107.93,479530
2024-03-04,119.77,135.43,119,134.15,867980
2024-03-05,124.42,133.45,103.55,105,1183560
2024-03-06,113.98,128.28,113.98,124.56,561390
2024-03-07,127.1,131.4,123.3,130,244820
2024-03-08,133.85,145.02,129.5,142.38,387380
2024-03-11,154.86,165.28,147.9,148.4,527540
2024-03-12,153.51,159.28,144.89,159.28,410510
2024-03-13,165.4,177.2,162.05,176,485970
2024-03-14,168.52,174.5,156.3,167.68,824120
2024-03-15,160.25,181.17,158.35,177.93,592410
2024-03-18,170.3,172.05,145,150.3,691420
2024-03-19,132.36,144.91,123.6,141.64,655440
2024-03-20,143.77,154.41,136.88,154.26,431880
2024-03-21,159.31,170.14,158.78,160.9,429450
2024-03-22,151.6,159.29,149,153.7,213200
2024-03-25,160.51,187.04,160.51,185.86,370820
2024-03-26,186.7,190.74,179.3,187.73,287650
2024-03-27,198.9,198.98,184.75,191.61,272340
2024-03-28,194.55,196.72,164.93,170.56,572330
2024-04-01,164.45,168.3,158.72,163.5,179170
2024-04-02,148.81,159.15,147.45,157.9,204900
2024-04-03,157.58,169.43,157.2,160.69,176440
2024-04-04,169.3,173.87,162.87,163.01,157020
2024-04-05,159.11,166.28,143.25,143.9,199500
2024-04-08,160.25,161.7,149.28,151.52,170340
2024-04-09,145.62,145.79,139.1,144.35,321050
2024-04-10,139.56,156.55,139.56,156.54,139920
2024-04-11,154.92,157.21,151.25,155.1,188800
2024-04-12,152.01,152.01,144.9,148.15,118970
2024-04-15,145.72,148.3,132.3,133.41,201920
2024-04-16,130.67,131.2,122,125.47,305270
2024-04-17,125.4,125.63,114.5,118.74,360150
2024-04-18,119.16,127.85,117.37,121,146970
2024-04-19,122.9,124.97,116.76,117.29,178530
2024-04-22,121.82,133.32,121.5,132.25,241180
2024-04-23,129.89,138.2,129.89,133.94,107880
2024-04-24,132.81,132.81,126.72,126.72,69430
2024-04-25,122.46,126.41,120.76,124.14,149300
2024-04-26,122.16,128.36,121.36,128.27,77990
2024-04-29,123.74,129.97,123.47,129.12,272790
2024-04-30,118,120.32,106.5,106.5,366600
2024-05-01,101.8,110.93,101.21,102.9,412240
2024-05-02,108,113.7,105.15,112.63,157420
2024-05-03,120.37,123.75,119.32,122.08,206330
2024-05-06,127.9,133.07,126.27,126.62,171920
2024-05-07,128.2,131.35,125.37,125.57,57810
2024-05-08,120.54,125.41,120.23,124.32,84240
2024-05-09,122.85,128.53,122.84,126.25,93580
2024-05-10,128.33,129.73,118.78,118.78,139280
2024-05-13,121.2,125.62,120.5,124.6,146470
2024-05-14,124,129.6,123.74,129.6,151050
2024-05-15,137.36,151.84,136.63,150.23,213740
2024-05-16,148.69,151.14,143.69,143.72,300870
2024-05-17,149.48,158.4,149.48,158.38,223660
2024-05-20,159.02,172.53,155.9,172.53,176930
2024-05-21,171.55,173.28,165.49,165.49,158140
2024-05-22,166.32,171.7,162.89,164.7,136650
2024-05-23,166.89,167,153.35,154.75,135700
2024-05-24,154.29,168.24,154.18,168.24,130820
2024-05-28,165.13,168.76,162.29,167.09,163690
2024-05-29,164.52,164.74,162.18,164.55,87090
2024-05-30,164.87,171.08,153.9,154.01,393810
