date,open,high,low,close,volume
2022-02-11,12.69,13.245,12.29,12.41,769688
2022-02-14,12.55,12.865,11.93,11.99,1113459
2022-02-15,12.24,12.635,11.98,12.59,519728
2022-02-16,12.61,13.27,12.61,13.075,606226
2022-02-17,12.9,13.16,12.16,12.195,468038
2022-02-18,12.17,12.21,11.19,11.39,578256
2022-02-22,11.1,11.16,10.19,10.25,1228973
2022-02-23,10.68,10.685,9.82,9.82,1414443
2022-02-24,8.86,10.38,8.85,10.33,1213922
2022-02-25,10.47,10.71,9.97,10.655,623576
2022-02-28,10.68,11.76,10.68,11.44,790044
2022-03-01,11.97,11.98,11.205,11.22,1101924
2022-03-02,12.945,13,11.515,11.565,2468645
2022-03-03,11.38,11.49,10.615,10.7,1077726
2022-03-04,10.72,11,9.925,10.01,996287
2022-03-07,9.98,10.22,9.595,9.615,761581
2022-03-08,9.5,10.065,9.285,9.7,705367
2022-03-09,9.98,10.075,9.65,9.86,951946
2022-03-10,9.71,9.8,9.18,9.41,878175
2022-03-11,9.52,9.53,8.535,8.545,1168213
2022-03-14,8.42,8.43,7.74,7.92,1788075
2022-03-15,8,8.285,7.795,8.205,1037812
2022-03-16,8.14,8.755,8.09,8.57,1062043
2022-03-17,8.55,9.075,8.38,8.91,930250
2022-03-18,8.92,9.975,8.83,9.87,1044900
2022-03-21,9.82,9.925,9.33,9.56,490230
2022-03-22,9.5,10.05,9.25,9.705,1012750
2022-03-23,9.53,9.78,9.33,9.375,648675
2022-03-24,9.415,9.5,9.07,9.46,319978
2022-03-25,9.41,9.41,8.91,9.01,369514
2022-03-28,9.07,9.26,8.84,9.25,325708
2022-03-29,9.27,10.2,9.24,10.14,3028207
2022-03-30,10.03,10.555,9.64,9.76,1076151
2022-03-31,9.74,9.78,9.425,9.44,571183
2022-04-01,9.46,9.605,9.215,9.33,403259
2022-04-04,9.41,10.02,9.41,9.75,494533
2022-04-05,9.815,10.09,9.09,9.12,796213
2022-04-06,8.96,9,8.46,8.75,853343
2022-04-07,8.27,8.37,7.64,8.125,2044029
2022-04-08,8.07,8.1,7.78,7.86,844425
2022-04-11,7.66,7.92,7.56,7.72,542028
2022-04-12,7.79,8.09,7.375,7.49,1105433
2022-04-13,7.4,7.68,7.24,7.615,669718
2022-04-14,7.66,7.66,7.225,7.27,644820
2022-04-18,7.245,7.315,6.98,7.135,621376
2022-04-19,7.11,7.58,7.06,7.39,615131
